Name	Set 	ImageFile	Type	Color	Sub Types	Cost	CMC	Power	Toughness	Rarity	Trim	Text
Acquire Target	STW	AcquireTarget.png	Sorcery	B		2B	3			C	AcquireTarget	Target player draws two cards and loses 2 life. Put a bounty counter on up to one target creature an opponent controls.
Aqualish Bounty Hunter	STW	AqualishBountyHunter.png	Creature	B	Aqualish, Hunter	4B	5	5	4	C	AqualishBountyHunter	When Aqualish Bounty Hunter enters the battlefield, put a bounty counter on target creature an opponent controls. Bounty - Whenever a creature an opponent controls with a bounty counter on it dies, target player discards a card.
ARC Fighter	STW	ARCFighter.png	Artifact, Creature	B/R	Starship	 	3	2	1	C	ARCFighter	Haste, Spaceflight
Arrest	STW	Arrest.png	Enchantment	W	Aura	2W	3			C	Arrest	Enchant creature, enchanted creature can't attack or block, and its activated abilities can't be activated.
Bathe in Bacta	STW	BatheinBacta.png	instant	G		1G	2			C	BatheinBacta	You gain 5 life. You gain 10 life instead if you lost life from a noncombat damage source this turn.
Battle Tactics	STW	BattleTactics.png	Sorcery	W		1WW	3			C	BattleTactics	Creatures you control get +2/+1 and gain vigilance until end of turn.
Bogwing	STW	Bogwing.png	Creature	U/B	Bat, Beast	1,U/B,U/B	3	2	2	C	Bogwing	Flying, Menace
Cantina Band	STW	CantinaBand.png	Creature	W	Bith	W	1	1	1	C	CantinaBand	W, T: Tap target nonartifact creature.
Capture	STW	Capture.png	instant	R		2R	3			C	Capture	Gain control of target creature until end of turn. Untap that creature. Until end of turn, it gets -2,-0 and gains haste.
Cloaking Device	STW	CloakingDevice.png	Enchantment	U	Aura	U	1			C	CloakingDevice	Enchant creature, enchanted creature can't be blocked. Whenever enchated creature attacks, defending player loses 1 life.
Crossfire	STW	Crossfire.png	Instant	R		2RR	4			C	Crossfire	Crossfire deals 4 damage to target creature and 2 damage to that creature's controller.
Dactillion Scouting Squad	STW	DactillionScoutingSquad.png	Creature	W	Bird, Beast	4W	5	2	3	C	DactillionScoutingSquad	Whenever Dactillion Scouting Squad blocks or becomes blocked, it gets +2/+2 until end of turn.
Deceptive Hateflayer	STW	DeceptiveHateflayer.png	Creature	U/B/R	Nautolan, Sith	UBR	3	3	3	C	DeceptiveHateflayer	Menace, Whenever Deceptive Hateflayer attacks, Each opponent loses 2 life.
Desert Trooper	STW	DesertTrooper.png	Creature	W	Human, Trooper	1W	2	2	2	C	DesertTrooper	Trooper creatures you control have vigilance.
Devoted Uvak	STW	DevotedUvak.png	Creature	U	Drake, Beast	4U	5	3	4	C	DevotedUvak	Flying, whenver Devoted uvak attacks, target non-Starship creature you control gains flying until end of turn.
Droid Commando	STW	DroidCommando.png	Artifact, Creature	B	Droid	2B	3	2	2	C	DroidCommando	When Droid Commando dies, target player loses 2 life and you gain 2 life. Repair 3
